trait_word
woody
pappus
bulb
aril
hair
leaf
succulent
corm
awn
leaves
stem
succulent
rhizome
seed
winged
tap
root
tree
shrub
suffrutex
free
radial
aquatic
annual
fusion
zygomorphic
basal
perennial
perianth
climber
scrambler
cushion
dwf
shrub
dwarf
epiphyte
erect
leafy
short
succulent
tall
tree
tussock
dispersule
achene
berry
capsule
caryopsis
drupe
follicle
mericarps
nut
nutlet
pod
samara
schizocarp
siliqua
utricle
dehiscent
indehiscent
solitary
stolons
rhizome
rooting
nodes
suckering
